source,package
"crates","blake-hash"
"crates","cg"
"crates","clap_up"
"crates","crypto-tests"
"crates","jh-x86_64"
"crates","mail-headers"
"crates","mail-smtp"
"crates","mail-template"
"crates","multipart-nickel"
"crates","pathfinder_text"
"crates","pest_derive"
"crates","pest_generator"
"crates","pest_generator_tmp"
"crates","ppv-null"
"crates","reference-trie"
"crates","regular-expression"
"crates","regular-expression-bootstrap"
"crates","simple-lexer"
"crates","simple-lexer-bootstrap"
"crates","simple-parser"
"crates","simple-parser-bootstrap"
"crates","slog-example-lib"
"crates","slog-scope-stdlog"
"crates","threefish-cipher"
"crates","trie-bench"
"crates","ucd-generate"
